Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,RTX,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM,
20100104,7.64,40.92,56.18,58.55,24.69,79.06,32.07,41.56,173.08,28.67,132.45,20.88,64.68,42.85,28.52,62.78,83.02,37.01,30.95,16.34,45.08,17.93,61.12,49.81,31.53,22.04,31.11,37.3,54.23,69.15,
20100105,7.66,40.83,58.02,59.25,24.58,79.62,31.99,43.41,176.14,28.88,130.85,20.87,63.93,43.68,28.18,62.3,82.5,37.16,30.96,16.4,44.4,17.68,61.14,48.63,31.48,21.78,31.17,37,53.69,69.42,
20100106,7.53,41.49,59.78,59.43,24.42,79.63,31.82,44.18,174.26,28.78,130,20.8,64.45,43.92,28.17,61.45,83.67,37.66,30.77,16.3,44.17,17.62,60.85,47.94,31.79,21.49,29.84,36.72,53.57,70.02,
20100107,7.52,41.98,62.2,59.67,24.53,79.33,31.83,44.2,177.67,29.12,129.55,20.6,63.99,44.79,28.1,61.9,83.73,37.72,30.45,16.46,44.36,17.55,60.52,48.63,33.01,21.69,29.67,36.94,53.6,69.8,
20100108,7.57,41.95,61.6,60.34,24.66,79.47,31.88,44.36,174.31,28.98,130.85,20.83,64.21,44.68,27.58,61.84,84.32,37.7,30.66,16.43,44.45,17.7,60.44,48.56,32.7,21.75,29.68,36.99,53.33,69.52,
20100111,7.5,41.47,60.87,64.13,24.59,80.88,31.36,43.81,171.56,28.16,129.48,20.95,64.22,44.53,28.14,62.32,83.98,37.85,30.27,16.23,45.41,17.84,60.2,48.54,32.92,21.69,29.81,37.05,54.21,70.3,
20100112,7.42,42.02,60.43,62.24,24.2,80.41,30.82,43.95,167.82,27.98,130.51,20.61,64.56,43.49,28.44,62.66,84.05,37.55,30.07,16.2,45.15,17.78,60.89,48.85,32.05,21.59,29.83,36.74,54.73,69.95,
20100113,7.52,42.15,61.16,62.33,24.64,79.8,31.29,43.79,169.07,28.13,130.23,20.96,64.97,44.25,28.52,62.59,83.78,38.93,30.35,16.35,45.66,18.2,61.52,49.02,32.54,21.79,29.8,37.08,55.01,69.67,
20100114,7.48,42.68,61.56,61.98,24.95,79.55,31.02,43.48,168.53,28.3,132.31,21.48,65.1,44.69,28.57,62.65,83.5,39.99,30.96,16.25,45.82,18.36,61.58,49.28,33.32,21.86,29.19,37.11,54.21,69.68,
20100115,7.35,42.39,60.82,60.12,24.4,79.23,30.6,42.71,165.21,28.57,131.78,20.8,64.56,43.68,28.15,62.28,83.37,39.47,30.86,16.1,45.3,18.46,60.82,48.79,33.75,21.54,28.59,36.6,53.68,69.11,
20100119,7.68,42.96,60.65,60.93,24.85,79.68,31.01,43.69,166.86,28.88,134.14,21.05,65.35,43.28,28.21,63.48,85.12,40.62,31.1,16.18,45.49,18.95,61.72,49.43,35.13,21.96,29.2,36.74,54.03,69.27,
20100120,7.56,42.98,60.2,59.76,24.41,78.15,31.19,43.24,167.79,28.66,130.25,21.08,65.15,43.4,27.75,63.01,84.72,41.03,30.59,16.05,44.95,18.89,60.45,48.93,34.55,21.86,28.71,36.95,53.86,68.03,
20100121,7.43,42.16,59.2,56.85,23.98,76.24,30.61,40.83,160.87,28.48,129,20.84,63.97,40.54,27.19,63.2,82.7,40.08,30.01,15.91,44.13,18.23,59.84,48.95,33.1,21.11,28.64,36.45,52.92,66.7,
20100122,7.06,38.59,57.77,54.25,22.97,74.59,29.98,39.53,154.12,27.72,125.5,19.91,63.2,39.16,27.12,63.39,81.48,38.87,28.96,15.75,43.47,17.96,60.31,48.31,33.16,20.68,28.37,35.99,52.94,66.1,
20100125,7.25,37.79,57.78,55.14,22.99,74.55,29.92,40.46,154.98,27.62,126.12,20.32,63.22,39.21,27.18,63.09,81.83,38.76,29.32,15.92,43.16,17.86,60.63,48.89,33,20.51,28.68,36.67,52.88,65.85,
20100126,7.36,38.1,57.71,55.85,22.9,74.15,29.66,40,150.88,27.73,125.75,20,62.79,38.44,27.07,63.81,81.63,38.58,29.5,15.94,43.09,17.79,60.69,50.23,32.44,20.29,28.21,36.17,53.61,65.92,
20100127,7.42,38.67,61.93,53.44,23.15,73.7,29.32,40.22,151.5,27.84,126.33,20.24,63.44,39.33,27.26,63.73,82.3,38.64,29.67,16,42.55,18,60.81,50.9,33.24,20.98,27.93,36.7,53.4,65.54,
20100128,7.12,37.43,62.56,51.86,22.52,73.24,29.35,38.98,153.29,27.34,123.75,19.92,63.8,39.48,27.09,62.83,80.75,37.97,29.16,15.88,42.4,17.65,61.68,50.27,33.43,20.66,27.42,36.4,52.61,64.96,
20100129,6.86,37.66,60.6,52.24,22.47,72.12,29.55,38.58,148.72,28.01,122.39,19.4,62.86,38.94,27.13,62.43,80.49,38.18,28.18,15.94,42.47,17.68,61.55,50.67,33,20.51,27.51,36.05,53.43,64.43,
20100201,6.95,38.21,61.7,52.94,22.73,73.58,29.52,40.77,153.13,28.39,124.67,19.61,63.09,39.63,27.19,63.89,80.44,38.3,28.41,16.02,42.51,17.8,61.99,50.69,33.13,20.92,27.68,36.38,53.48,66.18,
20100202,7,39.02,61.94,53.55,23.02,74.45,29.98,39.26,156.94,29.03,125.53,19.91,63.99,40.55,27.53,64.03,80.43,39.54,28.46,15.98,42.81,18.23,62.9,51.09,34.05,21,27.8,36.78,53.49,66.96,
20100203,7.12,38.33,61.46,53.39,23.07,73.21,30.75,39.28,157.23,28.47,125.66,19.68,63.63,40.29,27.44,65.21,81.5,38.72,28.63,16,42.94,17.64,62.65,50.57,33.32,20.88,27.29,34.62,54.27,66.6,
20100204,6.86,37.53,59.32,51.4,23.16,71.37,29.67,37.9,150.68,27.93,123,19.02,62.64,38.35,26.72,64.06,79.21,37.1,27.84,15.52,41.77,17.08,61.4,49.73,32.46,20.76,26.77,33.45,52.97,64.72,
20100205,6.98,37.85,58.4,51.75,23.7,71.18,29.54,37.77,154.16,27.98,123.52,19.47,62.64,38.3,26.55,63.37,78.54,36.73,28.02,15.43,41.85,17.01,61.3,50.28,32.54,20.64,26.87,33.31,53.45,64.8,
20100208,6.93,36.79,57.89,50.78,23.5,70.13,29.48,37.28,151.1,28.59,121.88,19.35,62.37,37.7,26.33,62.92,77.53,36.59,27.72,15.33,41.16,16.9,61.01,49.05,32.41,20.76,26.52,33.29,52.93,64.35,
20100209,7.01,37.54,59.74,53.53,23.89,71.31,29.84,39.58,152.49,28.87,123.21,19.65,62.76,38.39,27.01,63.57,78.72,36.47,28.01,15.63,41.86,16.94,61.76,49.57,33,20.82,26.88,33.61,53.25,65.2,
20100210,6.97,37.75,59.54,53.15,23.76,70.75,30.03,39.18,153.63,28.65,122.81,19.69,62.73,38.87,26.9,63.25,78.62,36.2,27.99,15.66,41.94,16.81,61.67,49.69,32.71,20.91,26.99,33.3,53.24,64.85,
20100211,7.1,38.29,60.59,56.15,23.93,71.73,30.16,39.68,154.05,28.99,123.73,20.06,62.91,39.02,27.11,63.79,80.27,36.88,28.12,15.74,41.98,16.93,61.96,50.2,33.12,21.29,27.15,33.6,53.08,65.24,
20100212,7.16,38.42,59.65,56.2,23.76,71.01,30.07,39.58,153.93,29,124,20.43,62.72,38.95,26.99,63.59,79.18,36.92,27.93,15.62,41.34,16.86,61.76,50.45,32.18,21.2,27.05,33.49,52.9,64.8,
20100216,7.26,39.62,61.26,57.12,24,72.99,30.47,40.56,157.4,29.44,125.23,20.72,63.61,40.07,27.41,64.01,80.47,37.66,28.35,15.91,41.74,16.79,62.83,51.61,31.63,21.47,27.28,34.08,53.56,66.28,
20100217,7.23,39.05,61.82,57.5,24.07,72.84,30.86,40.93,157.26,30.02,126.33,20.66,63.98,40.04,27.67,64.26,80.14,37.34,28.59,16.12,42.38,16.74,62.85,51.75,32.55,21.61,27.24,34.19,54.06,65.76,
20100218,7.25,39.15,62.89,57.81,24.28,73.62,31.02,42.07,155.73,30.3,127.81,20.84,64.53,40.41,27.96,64.48,81.11,37.29,28.97,16.11,42.86,16.8,63.39,52.74,32.69,21.74,27.25,34.69,53.47,65.96,
20100219,7.2,39.06,63.59,58.25,24.36,74.05,31.23,41.63,156.18,30.15,127.19,20.82,63.81,40.03,27.86,64.74,81.52,37.49,28.77,16.09,43.12,17.04,63.45,52.88,31.94,21.7,27.13,34.86,53.49,65.87,
20100222,7.16,38.93,63.97,58.03,24.3,72.96,31.12,41.81,156.71,30.32,126.85,20.87,63.49,40.85,27.69,64.77,80.68,37.12,28.73,16.08,43.04,17,63.42,53.04,33.08,21.73,27.11,34.75,53.83,65.4,
20100223,7.04,37.93,62.77,56.66,24.05,72.04,30.92,41.13,156.7,30.75,126.46,20.39,63.31,39.88,27.42,64.87,79.71,36.51,28.33,16.03,42.66,16.74,63.21,52.36,32.81,21.53,26.87,34.76,53.62,64.94,
20100224,7.17,38.41,63.48,56.96,24.34,72.34,31.39,41.3,158.33,31.36,127.59,20.7,63.45,40.85,27.58,65.26,80.07,36.93,28.63,16.23,43.18,16.87,63.89,52.79,33.62,21.41,27.08,35.5,53.92,65.55,
20100225,7.21,38.04,62.87,56.79,24.33,72.11,31.36,40.33,156.44,31.36,127.07,20.63,63.28,40.64,26.56,64.38,79.74,36.57,28.6,16.54,43.21,16.76,63.7,52.75,33.45,21.31,27,36.02,54.15,65.14,
20100226,7.31,38.19,63.16,57.05,24.33,72.3,31.24,40.32,156.35,31.2,127.16,20.53,63,41.97,26.36,63.85,80.15,36.88,28.67,16.9,43.2,16.63,63.28,52.59,33.86,21.32,27.05,35.24,54.07,65,
20100301,7.46,38.13,64,57.85,24.6,72.81,31.54,40.86,156.54,31.43,128.57,20.87,63.39,41.83,26.64,63.98,80.58,37.27,29.02,17.06,43.83,16.82,63.51,53.08,34.04,21.71,27.1,35.42,53.9,65.4,
20100302,7.46,38.39,64.44,58.15,24.61,73.32,31.88,41.13,158.75,31.36,127.42,20.7,63.44,41.62,26.65,64.07,81.13,37.39,28.46,17.01,43.89,16.67,63.71,53.29,33.95,21.61,27.36,35.24,53.59,65.49,
20100303,7.48,38.28,64.45,58.57,24.84,73.13,31.64,42.17,157.72,31.47,126.88,20.52,63.4,41.53,26.97,63.63,81,37.21,28.46,16.91,43.8,16.41,63.55,53.12,34.1,21.7,27.23,35.36,53.66,65.43,
20100304,7.53,38.89,65.55,58.45,24.95,73.08,32.57,42.1,163.61,31.44,126.72,20.53,63.57,41.92,27.24,63.43,81.02,37.14,28.63,16.91,44.28,16.42,63.67,53.55,32.95,21.76,27.37,35,53.96,65.4,
